
id,log_message,2025-08-16 19:55:58,source,severity,anomaly_flag,anomaly_reason,target_label
486,The Windows Driver Foundation service failed to start. Error 0x80070002.,2025-07-28 00:00:35,WudfSvc,Error,True,WDF service failure,anomaly
487,The Human Interface Device Access service failed to start. Error 0x8007042D.,2025-07-28 00:00:36,hidserv,Error,True,HID service failure,anomaly
488,The Windows Image Acquisition service crashed with exception 0xC0000142.,2025-07-28 00:00:37,stisvc,Error,True,WIA service crash,anomaly
489,The Fax service failed to initialize modem. Error 0x000006BE.,2025-07-28 00:00:38,Fax,Error,True,fax modem init failure,anomaly
490,The Base Filtering Engine service failed to start. Error 0x8007042C.,2025-07-28 00:00:39,BFE,Error,True,BFE service failure,anomaly
491,The IKE and AuthIP IPsec Keying Modules service failed to start. Error 0x8007042D.,2025-07-28 00:00:40,IKEEXT,Error,True,IPsec service failure,anomaly
492,The Windows Defender Antivirus Network Inspection service crashed. Error 0x80070005.,2025-07-28 00:00:41,WdNisSvc,Error,True,Defender network crash,anomaly
493,The Security Accounts Manager service failed to start. Error 0x80070002.,2025-07-28 00:00:42,SamSs,Error,True,SAM service failure,anomaly
494,The Server service failed to start. Error 0x8007042D.,2025-07-28 00:00:43,LanmanServer,Error,True,file server service failure,anomaly
495,The Workstation service crashed with exception 0xC0000005.,2025-07-28 00:00:44,LanmanWorkstation,Error,True,workstation service crash,anomaly
496,The TCP/IP NetBIOS Helper service failed to start. Error 0x80070424.,2025-07-28 00:00:45,lmhosts,Error,True,NetBIOS helper failure,anomaly
497,The Windows Connection Manager service failed to start. Error 0x8007042B.,2025-07-28 00:00:46,Wcmsvc,Error,True,connection manager failure,anomaly
498,The Network List Service failed to start. Error 0x8007042D.,2025-07-28 00:00:47,netprofm,Error,True,network profile failure,anomaly
499,The WWAN AutoConfig service failed to start. Error 0x8007042C.,2025-07-28 00:00:48,WwanSvc,Error,True,WWAN service failure,anomaly
500,The WLAN AutoConfig service crashed with exception 0xC0000005.,2025-07-28 00:00:49,Wlansvc,Error,True,Wi-Fi service crash,anomaly
501,The HomeGroup Provider service failed to start. Error 0x80070424.,2025-07-28 00:00:50,HomeGroupProvider,Error,True,homegroup service failure,anomaly
502,The Windows Media Player Network Sharing service failed to start. Error 0x8007042D.,2025-07-28 00:00:51,WMPNetworkSvc,Error,True,WMP sharing failure,anomaly
503,The Internet Connection Sharing service failed to start. Error 0x80004015.,2025-07-28 00:00:52,SharedAccess,Error,True,ICS service failure,anomaly
504,The Windows Defender Antivirus Service failed to load antimalware engine. Error 0x8007007E.,2025-07-28 00:00:53,WinDefend,Error,True,engine load failure,anomaly
505,The Windows CardSpace service crashed with exception 0xC0000142.,2025-07-28 00:00:54,idsvc,Error,True,cardspace crash,anomaly
506,The Windows Presentation Foundation Font Cache service failed to start. Error 0x8007042B.,2025-07-28 00:00:55,FontCache,Error,True,WPF font cache failure,anomaly
507,The Microsoft .NET Framework NGEN service failed to start. Error 0x8007042D.,2025-07-28 00:00:56,clr_optimization,Error,True,ngen failure,anomaly
508,The Microsoft Passport service failed to start. Error 0x8007042C.,2025-07-28 00:00:57,NgcSvc,Error,True,passport service failure,anomaly
509,The Windows Push Notifications User Service crashed. Error 0xC000027B.,2025-07-28 00:00:58,WpnUserService,Error,True,push notifications crash,anomaly
510,The Sync Host service failed to start. Error 0x8007042B.,2025-07-28 00:00:59,OneSyncSvc,Error,True,sync service failure,anomaly
511,The Windows Update Medic Service failed to start. Error 0x8007042D.,2025-07-28 00:01:00,WaaSMedicSvc,Error,True,update medic failure,anomaly
512,The Connected Devices Platform Service crashed with exception 0xC0000005.,2025-07-28 00:01:01,CDPSvc,Error,True,CDP service crash,anomaly
513,The Windows Camera Frame Server service failed to start. Error 0x8007042C.,2025-07-28 00:01:02,FrameServer,Error,True,camera frame server failure,anomaly
514,The Windows Audio Endpoint Builder service crashed. Error 0x8007042B.,2025-07-28 00:01:03,AudioEndpointBuilder,Error,True,audio endpoint crash,anomaly
515,The Geolocation Service failed to start. Error 0x8007042D.,2025-07-28 00:01:04,Lfsvc,Error,True,geolocation failure,anomaly
516,The GameDVR and Broadcast User Service crashed with exception 0xC0000142.,2025-07-28 00:01:05,BcastDVRUserService,Error,True,gamedvr crash,anomaly
517,The MessagingService failed to start. Error 0x8007042C.,2025-07-28 00:01:06,MessagingService,Error,True,messaging failure,anomaly
518,The Windows Internal Database service failed to start. Error 0x8007042B.,2025-07-28 00:01:07,MSSQL$MICROSOFT##WID,Error,True,WID start failure,anomaly
519,The PrintWorkflow User Service crashed with exception 0xC0000005.,2025-07-28 00:01:08,PrintWorkflowUserSvc,Error,True,print workflow crash,anomaly
520,The User Data Storage service failed to start. Error 0x8007042D.,2025-07-28 00:01:09,UnistoreSvc,Error,True,user data storage failure,anomaly
521,The Windows Update Orchestrator service crashed. Error 0x8007042C.,2025-07-28 00:01:10,UsoSvc,Error,True,update orchestrator crash,anomaly
522,The Windows Hello for Business Credential Service failed to start. Error 0x8007042B.,2025-07-28 00:01:11,CertPropSvc,Error,True,hello credential failure,anomaly
523,The Windows Insider Service crashed with exception 0xC000027B.,2025-07-28 00:01:12,wisvc,Error,True,insider service crash,anomaly
524,The Windows Perception Service failed to start. Error 0x8007042D.,2025-07-28 00:01:13,perceptionsimulation,Error,True,perception service failure,anomaly
525,The Windows Mobile Hotspot Service crashed. Error 0x8007042C.,2025-07-28 00:01:14,icssvc,Error,True,mobile hotspot crash,anomaly
526,The Windows Update Assistant service failed to start. Error 0x8007042B.,2025-07-28 00:01:15,UpdateAssistant,Error,True,update assistant failure,anomaly
527,The Windows Mixed Reality Service crashed with exception 0xC0000005.,2025-07-28 00:01:16,MixedRealityPortal,Error,True,mixed reality crash,anomaly
528,The Windows Subsystem for Linux service failed to start. Error 0x8007042D.,2025-07-28 00:01:17,LxssManager,Error,True,WSL service failure,anomaly
529,The Xbox Live Auth Manager service crashed. Error 0x8007042C.,2025-07-28 00:01:18,XblAuthManager,Error,True,xbox auth crash,anomaly
530,The Xbox Game Save service failed to start. Error 0x8007042B.,2025-07-28 00:01:19,XblGameSave,Error,True,xbox save failure,anomaly
531,The Xbox Live Networking Service crashed with exception 0xC0000142.,2025-07-28 00:01:20,XblNetApiSvc,Error,True,xbox networking crash,anomaly
532,The Windows Hello Face Authentication service failed to start. Error 0x8007042D.,2025-07-28 00:01:21,FaceAuth,Error,True,hello face failure,anomaly
533,The Contact Data service crashed. Error 0x8007042C.,2025-07-28 00:01:22,PimIndexMaintenanceSvc,Error,True,contact data crash,anomaly
534,The User Data Access service failed to start. Error 0x8007042B.,2025-07-28 00:01:23,UserDataSvc,Error,True,user data access failure,anomaly
535,The Windows Camera Service crashed with exception 0xC0000005.,2025-07-28 00:01:24,WindowsCamera,Error,True,camera service crash,anomaly
536,The Windows Maps service failed to start. Error 0x8007042D.,2025-07-28 00:01:25,MapsBroker,Error,True,maps service failure,anomaly
537,The Windows Insider Metrics service crashed. Error 0x8007042C.,2025-07-28 00:01:26,diagsvc,Error,True,insider metrics crash,anomaly
538,The Windows Security Service failed to start. Error 0x8007042B.,2025-07-28 00:01:27,SecurityHealthService,Error,True,security service failure,anomaly
539,The Windows Feedback Service crashed with exception 0xC000027B.,2025-07-28 00:01:28,WerSvc,Error,True,feedback service crash,anomaly
540,The Windows Store Service failed to start. Error 0x8007042D.,2025-07-28 00:01:29,InstallService,Error,True,store service failure,anomaly
541,The Windows Update Remediation Service crashed. Error 0x8007042C.,2025-07-28 00:01:30,Remediation,Error,True,update remediation crash,anomaly
542,The Windows Defender Security Center service failed to start. Error 0x8007042B.,2025-07-28 00:01:31,SecurityCenter,Error,True,defender center failure,anomaly
543,The Windows Spotlight Service crashed with exception 0xC0000005.,2025-07-28 00:01:32,Spotlight,Error,True,spotlight crash,anomaly
544,The Windows Update Orchestrator Remediation Service failed to start. Error 0x8007042D.,2025-07-28 00:01:33,UsoSvcRemediation,Error,True,orchestrator remediation failure,anomaly
545,The Windows Update Stack Orchestrator crashed. Error 0x8007042C.,2025-07-28 00:01:34,USOStack,Error,True,update stack crash,anomaly
546,The Windows Defender Antivirus Network Inspection Engine crashed. Error 0xC000027B.,2025-07-28 00:01:35,MsMpEng,Error,True,engine crash,anomaly
547,The Windows Defender Antivirus Service failed to initialize real-time protection. Error 0x8007042B.,2025-07-28 00:01:36,WinDefend,Error,True,real-time init failure,anomaly
548,The Windows Defender Antivirus Scan Service crashed. Error 0x8007042D.,2025-07-28 00:01:37,MsMpEng,Error,True,scan service crash,anomaly
549,The Windows Defender Antivirus Threat Intelligence Service failed to start. Error 0x8007042C.,2025-07-28 00:01:38,TiWorker,Error,True,TI service failure,anomaly
550,The Windows Defender Antivirus Network Realtime Inspection Service crashed. Error 0xC0000005.,2025-07-28 00:01:39,NisSrv,Error,True,network realtime crash,anomaly
551,The Windows Defender Antivirus Service failed to download security intelligence. Error 0x8007042B.,2025-07-28 00:01:40,WinDefend,Error,True,intel download failure,anomaly
552,The Windows Defender Antivirus Service failed to update antimalware definitions. Error 0x8007042D.,2025-07-28 00:01:41,WinDefend,Error,True,definition update failure,anomaly
553,The Windows Defender Antivirus Service failed to start antimalware engine. Error 0x8007042C.,2025-07-28 00:01:42,WinDefend,Error,True,engine start failure,anomaly
554,The Windows Defender Antivirus Service failed to initialize network protection. Error 0xC000027B.,2025-07-28 00:01:43,WinDefend,Error,True,network protection init failure,anomaly
555,The Windows Defender Antivirus Service failed to start cloud-delivered protection. Error 0x8007042B.,2025-07-28 00:01:44,WinDefend,Error,True,cloud protection failure,anomaly
556,The Windows Defender Antivirus Service failed to initialize exploit protection. Error 0x8007042D.,2025-07-28 00:01:45,WinDefend,Error,True,exploit protection init failure,anomaly
557,The Windows Defender Antivirus Service failed to start ransomware protection. Error 0x8007042C.,2025-07-28 00:01:46,WinDefend,Error,True,ransomware protection failure,anomaly
558,The Windows Defender Antivirus Service failed to initialize attack surface reduction. Error 0xC0000005.,2025-07-28 00:01:47,WinDefend,Error,True,ASR init failure,anomaly
559,The Windows Defender Antivirus Service failed to start controlled folder access. Error 0x8007042B.,2025-07-28 00:01:48,WinDefend,Error,True,controlled folder failure,anomaly
560,The Windows Defender Antivirus Service failed to initialize web protection. Error 0x8007042D.,2025-07-28 00:01:49,WinDefend,Error,True,web protection init failure,anomaly
561,The Windows Defender Antivirus Service failed to start network firewall. Error 0x8007042C.,2025-07-28 00:01:50,WinDefend,Error,True,firewall start failure,anomaly
562,The Windows Defender Antivirus Service failed to initialize device security. Error 0xC000027B.,2025-07-28 00:01:51,WinDefend,Error,True,device security init failure,anomaly
563,The Windows Defender Antivirus Service failed to start security intelligence updates. Error 0x8007042B.,2025-07-28 00:01:52,WinDefend,Error,True,intelligence update start failure,anomaly
564,The Windows Defender Antivirus Service failed to initialize tamper protection. Error 0x8007042D.,2025-07-28 00:01:53,WinDefend,Error,True,tamper protection init failure,anomaly
565,The Windows Defender Antivirus Service failed to start application guard. Error 0x8007042C.,2025-07-28 00:01:54,WinDefend,Error,True,application guard failure,anomaly
566,The Windows Defender Antivirus Service failed to initialize credential guard. Error 0xC0000005.,2025-07-28 00:01:55,WinDefend,Error,True,credential guard init failure,anomaly
567,The Windows Defender Antivirus Service failed to start memory integrity. Error 0x8007042B.,2025-07-28 00:01:56,WinDefend,Error,True,memory integrity failure,anomaly
568,The Windows Defender Antivirus Service failed to initialize kernel isolation. Error 0x8007042D.,2025-07-28 00:01:57,WinDefend,Error,True,kernel isolation init failure,anomaly
569,The Windows Defender Antivirus Service failed to start virtualization-based security. Error 0x8007042C.,2025-07-28 00:01:58,WinDefend,Error,True,VBS start failure,anomaly
570,The Windows Defender Antivirus Service failed to initialize secure boot. Error 0xC000027B.,2025-07-28 00:01:59,WinDefend,Error,True,secure boot init failure,anomaly
571,The Windows Defender Antivirus Service failed to start measured boot. Error 0x8007042B.,2025-07-28 00:02:00,WinDefend,Error,True,measured boot failure,anomaly
572,The Windows Defender Antivirus Service failed to initialize early launch anti-malware. Error 0x8007042D.,2025-07-28 00:02:01,WinDefend,Error,True,ELAM init failure,anomaly
573,The Windows Defender Antivirus Service failed to start system guard runtime monitor. Error 0x8007042C.,2025-07-28 00:02:02,WinDefend,Error,True,system guard failure,anomaly
574,The Windows Defender Antivirus Service failed to initialize HVCI. Error 0xC0000005.,2025-07-28 00:02:03,WinDefend,Error,True,HVCI init failure,anomaly
575,The Windows Defender Antivirus Service failed to start Windows Sandbox. Error 0x8007042B.,2025-07-28 00:02:04,WinDefend,Error,True,sandbox start failure,anomaly
576,The Windows Defender Antivirus Service failed to initialize Windows Subsystem for Linux. Error 0x8007042D.,2025-07-28 00:02:05,WinDefend,Error,True,WSL init failure,anomaly
577,The Windows Defender Antivirus Service failed to start Windows Hypervisor Platform. Error 0x8007042C.,2025-07-28 00:02:06,WinDefend,Error,True,hypervisor platform failure,anomaly
578,The Windows Defender Antivirus Service failed to initialize Windows Sandbox network. Error 0xC000027B.,2025-07-28 00:02:07,WinDefend,Error,True,sandbox network init failure,anomaly
579,The Windows Defender Antivirus Service failed to start Windows Sandbox clipboard. Error 0x8007042B.,2025-07-28 00:02:08,WinDefend,Error,True,sandbox clipboard failure,anomaly
580,The Windows Defender Antivirus Service failed to initialize Windows Sandbox audio. Error 0x8007042D.,2025-07-28 00:02:09,WinDefend,Error,True,sandbox audio init failure,anomaly
581,The Windows Defender Antivirus Service failed to start Windows Sandbox printer. Error 0x8007042C.,2025-07-28 00:02:10,WinDefend,Error,True,sandbox printer failure,anomaly
582,The Windows Defender Antivirus Service failed to initialize Windows Sandbox USB. Error 0xC0000005.,2025-07-28 00:02:11,WinDefend,Error,True,sandbox USB init failure,anomaly
583,The Windows Defender Antivirus Service failed to start Windows Sandbox GPU. Error 0x8007042B.,2025-07-28 00:02:12,WinDefend,Error,True,sandbox GPU failure,anomaly
584,The Windows Defender Antivirus Service failed to initialize Windows Sandbox file system. Error 0x8007042D.,2025-07-28 00:02:13,WinDefend,Error,True,sandbox FS init failure,anomaly
585,The Windows Defender Antivirus Service failed to start Windows Sandbox registry. Error 0x8007042C.,2025-07-28 00:02:14,WinDefend,Error,True,sandbox registry failure,anomaly
586,The Windows Defender Antivirus Service failed to initialize Windows Sandbox kernel. Error 0xC000027B.,2025-07-28 00:02:15,WinDefend,Error,True,sandbox kernel init failure,anomaly
587,The Windows Defender Antivirus Service failed to start Windows Sandbox user mode. Error 0x8007042B.,2025-07-28 00:02:16,WinDefend,Error,True,sandbox user mode failure,anomaly
588,The Windows Defender Antivirus Service failed to initialize Windows Sandbox kernel mode. Error 0x8007042D.,2025-07-28 00:02:17,WinDefend,Error,True,sandbox kernel mode init failure,anomaly
589,The Windows Defender Antivirus Service failed to start Windows Sandbox driver. Error 0x8007042C.,2025-07-28 00:02:18,WinDefend,Error,True,sandbox driver failure,anomaly
590,The Windows Defender Antivirus Service failed to initialize Windows Sandbox HAL. Error 0xC0000005.,2025-07-28 00:02:19,WinDefend,Error,True,sandbox HAL init failure,anomaly
591,The Windows Defender Antivirus Service failed to start Windows Sandbox boot. Error 0x8007042B.,2025-07-28 00:02:20,WinDefend,Error,True,sandbox boot failure,anomaly
592,The Windows Defender Antivirus Service failed to initialize Windows Sandbox logon. Error 0x8007042D.,2025-07-28 00:02:21,WinDefend,Error,True,sandbox logon init failure,anomaly
593,The Windows Defender Antivirus Service failed to start Windows Sandbox session. Error 0x8007042C.,2025-07-28 00:02:22,WinDefend,Error,True,sandbox session failure,anomaly
594,The Windows Defender Antivirus Service failed to initialize Windows Sandbox desktop. Error 0xC000027B.,2025-07-28 00:02:23,WinDefend,Error,True,sandbox desktop init failure,anomaly
595,The Windows Defender Antivirus Service failed to start Windows Sandbox shell. Error 0x8007042B.,2025-07-28 00:02:24,WinDefend,Error,True,sandbox shell failure,anomaly
596,The Windows Defender Antivirus Service failed to initialize Windows Sandbox taskbar. Error 0x8007042D.,2025-07-28 00:02:25,WinDefend,Error,True,sandbox taskbar init failure,anomaly
597,The Windows Defender Antivirus Service failed to start Windows Sandbox start menu. Error 0x8007042C.,2025-07-28 00:02:26,WinDefend,Error,True,sandbox start menu failure,anomaly
598,The Windows Defender Antivirus Service failed to initialize Windows Sandbox explorer. Error 0xC0000005.,2025-07-28 00:02:27,WinDefend,Error,True,sandbox explorer init failure,anomaly
599,The Windows Defender Antivirus Service failed to start Windows Sandbox control panel. Error 0x8007042B.,2025-07-28 00:02:28,WinDefend,Error,True,sandbox control panel failure,anomaly
600,The Windows Defender Antivirus Service failed to initialize Windows Sandbox settings. Error 0x8007042D.,2025-07-28 00:02:29,WinDefend,Error,True,sandbox settings init failure,anomaly
601,The Windows Defender Antivirus Service failed to start Windows Sandbox apps. Error 0x8007042C.,2025-07-28 00:02:30,WinDefend,Error,True,sandbox apps failure,anomaly
602,The Windows Defender Antivirus Service failed to initialize Windows Sandbox store. Error 0xC000027B.,2025-07-28 00:02:31,WinDefend,Error,True,sandbox store init failure,anomaly
603,The Windows Defender Antivirus Service failed to start Windows Sandbox edge. Error 0x8007042B.,2025-07-28 00:02:32,WinDefend,Error,True,sandbox edge failure,anomaly
604,The Windows Defender Antivirus Service failed to initialize Windows Sandbox cortana. Error 0x8007042D.,2025-07-28 00:02:33,WinDefend,Error,True,sandbox cortana init failure,anomaly
605,The Windows Defender Antivirus Service failed to start Windows Sandbox search. Error 0x8007042C.,2025-07-28 00:02:34,WinDefend,Error,True,sandbox search failure,anomaly
606,The Windows Defender Antivirus Service failed to initialize Windows Sandbox defender. Error 0xC0000005.,2025-07-28 00:02:35,WinDefend,Error,True,sandbox defender init failure,anomaly
607,The Windows Defender Antivirus Service failed to start Windows Sandbox firewall. Error 0x8007042B.,2025-07-28 00:02:36,WinDefend,Error,True,sandbox firewall failure,anomaly
608,The Windows Defender Antivirus Service failed to initialize Windows Sandbox antivirus. Error 0x8007042D.,2025-07-28 00:02:37,WinDefend,Error,True,sandbox AV init failure,anomaly
609,The Windows Defender Antivirus Service failed to start Windows Sandbox update. Error 0x8007042C.,2025-07-28 00:02:38,WinDefend,Error,True,sandbox update failure,anomaly
610,The Windows Defender Antivirus Service failed to initialize Windows Sandbox telemetry. Error 0xC000027B.,2025-07-28 00:02:39,WinDefend,Error,True,sandbox telemetry init failure,anomaly
611,The Windows Defender Antivirus Service failed to start Windows Sandbox diagnostics. Error 0x8007042B.,2025-07-28 00:02:40,WinDefend,Error,True,sandbox diagnostics failure,anomaly
612,The Windows Defender Antivirus Service failed to initialize Windows Sandbox feedback. Error 0x8007042D.,2025-07-28 00:02:41,WinDefend,Error,True,sandbox feedback init failure,anomaly
613,The Windows Defender Antivirus Service failed to start Windows Sandbox insider. Error 0x8007042C.,2025-07-28 00:02:42,WinDefend,Error,True,sandbox insider failure,anomaly
614,The Windows Defender Antivirus Service failed to initialize Windows Sandbox developer. Error 0xC0000005.,2025-07-28 00:02:43,WinDefend,Error,True,sandbox developer init failure,anomaly
615,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual desktop. Error 0x8007042B.,2025-07-28 00:02:44,WinDefend,Error,True,sandbox virtual desktop failure,anomaly
616,The Windows Defender Antivirus Service failed to initialize Windows Sandbox remote desktop. Error 0x8007042D.,2025-07-28 00:02:45,WinDefend,Error,True,sandbox RDP init failure,anomaly
617,The Windows Defender Antivirus Service failed to start Windows Sandbox hyper-v. Error 0x8007042C.,2025-07-28 00:02:46,WinDefend,Error,True,sandbox hyper-v failure,anomaly
618,The Windows Defender Antivirus Service failed to initialize Windows Sandbox docker. Error 0xC000027B.,2025-07-28 00:02:47,WinDefend,Error,True,sandbox docker init failure,anomaly
619,The Windows Defender Antivirus Service failed to start Windows Sandbox kubernetes. Error 0x8007042B.,2025-07-28 00:02:48,WinDefend,Error,True,sandbox k8s failure,anomaly
620,The Windows Defender Antivirus Service failed to initialize Windows Sandbox container. Error 0x8007042D.,2025-07-28 00:02:49,WinDefend,Error,True,sandbox container init failure,anomaly
621,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual machine. Error 0x8007042C.,2025-07-28 00:02:50,WinDefend,Error,True,sandbox VM failure,anomaly
622,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual switch. Error 0xC0000005.,2025-07-28 00:02:51,WinDefend,Error,True,sandbox vSwitch init failure,anomaly
623,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual network. Error 0x8007042B.,2025-07-28 00:02:52,WinDefend,Error,True,sandbox vNet failure,anomaly
624,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual storage. Error 0x8007042D.,2025-07-28 00:02:53,WinDefend,Error,True,sandbox vStorage init failure,anomaly
625,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual compute. Error 0x8007042C.,2025-07-28 00:02:54,WinDefend,Error,True,sandbox vCompute failure,anomaly
626,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual memory. Error 0xC000027B.,2025-07-28 00:02:55,WinDefend,Error,True,sandbox vMemory init failure,anomaly
627,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual CPU. Error 0x8007042B.,2025-07-28 00:02:56,WinDefend,Error,True,sandbox vCPU failure,anomaly
628,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual GPU. Error 0x8007042D.,2025-07-28 00:02:57,WinDefend,Error,True,sandbox vGPU init failure,anomaly
629,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual audio. Error 0x8007042C.,2025-07-28 00:02:58,WinDefend,Error,True,sandbox vAudio failure,anomaly
630,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual USB. Error 0xC0000005.,2025-07-28 00:02:59,WinDefend,Error,True,sandbox vUSB init failure,anomaly
631,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual printer. Error 0x8007042B.,2025-07-28 00:03:00,WinDefend,Error,True,sandbox vPrinter failure,anomaly
632,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual camera. Error 0x8007042D.,2025-07-28 00:03:01,WinDefend,Error,True,sandbox vCamera init failure,anomaly
633,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual microphone. Error 0x8007042C.,2025-07-28 00:03:02,WinDefend,Error,True,sandbox vMic failure,anomaly
634,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual keyboard. Error 0xC000027B.,2025-07-28 00:03:03,WinDefend,Error,True,sandbox vKeyboard init failure,anomaly
635,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual mouse. Error 0x8007042B.,2025-07-28 00:03:04,WinDefend,Error,True,sandbox vMouse failure,anomaly
636,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual touch. Error 0x8007042D.,2025-07-28 00:03:05,WinDefend,Error,True,sandbox vTouch init failure,anomaly
637,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual pen. Error 0x8007042C.,2025-07-28 00:03:06,WinDefend,Error,True,sandbox vPen failure,anomaly
638,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual haptics. Error 0xC0000005.,2025-07-28 00:03:07,WinDefend,Error,True,sandbox vHaptics init failure,anomaly
639,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual display. Error 0x8007042B.,2025-07-28 00:03:08,WinDefend,Error,True,sandbox vDisplay failure,anomaly
640,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual monitor. Error 0x8007042D.,2025-07-28 00:03:09,WinDefend,Error,True,sandbox vMonitor init failure,anomaly
641,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual adapter. Error 0x8007042C.,2025-07-28 00:03:10,WinDefend,Error,True,sandbox vAdapter failure,anomaly
642,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual driver. Error 0xC000027B.,2025-07-28 00:03:11,WinDefend,Error,True,sandbox vDriver init failure,anomaly
643,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual firmware. Error 0x8007042B.,2025-07-28 00:03:12,WinDefend,Error,True,sandbox vFirmware failure,anomaly
644,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual BIOS. Error 0x8007042D.,2025-07-28 00:03:13,WinDefend,Error,True,sandbox vBIOS init failure,anomaly
645,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual UEFI. Error 0x8007042C.,2025-07-28 00:03:14,WinDefend,Error,True,sandbox vUEFI failure,anomaly
646,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual TPM. Error 0xC0000005.,2025-07-28 00:03:15,WinDefend,Error,True,sandbox vTPM init failure,anomaly
647,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual secure boot. Error 0x8007042B.,2025-07-28 00:03:16,WinDefend,Error,True,sandbox secure boot failure,anomaly
648,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual measured boot. Error 0x8007042D.,2025-07-28 00:03:17,WinDefend,Error,True,sandbox measured boot init failure,anomaly
649,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual ELAM. Error 0x8007042C.,2025-07-28 00:03:18,WinDefend,Error,True,sandbox ELAM failure,anomaly
650,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual system guard. Error 0xC000027B.,2025-07-28 00:03:19,WinDefend,Error,True,sandbox system guard init failure,anomaly
651,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual HVCI. Error 0x8007042B.,2025-07-28 00:03:20,WinDefend,Error,True,sandbox HVCI failure,anomaly
652,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual memory integrity. Error 0x8007042D.,2025-07-28 00:03:21,WinDefend,Error,True,sandbox memory integrity init failure,anomaly
653,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual kernel isolation. Error 0x8007042C.,2025-07-28 00:03:22,WinDefend,Error,True,sandbox kernel isolation failure,anomaly
654,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual VBS. Error 0xC0000005.,2025-07-28 00:03:23,WinDefend,Error,True,sandbox VBS init failure,anomaly
655,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual IOMMU. Error 0x8007042B.,2025-07-28 00:03:24,WinDefend,Error,True,sandbox IOMMU failure,anomaly
656,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual DMA protection. Error 0x8007042D.,2025-07-28 00:03:25,WinDefend,Error,True,sandbox DMA init failure,anomaly
657,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual SMM protection. Error 0x8007042C.,2025-07-28 00:03:26,WinDefend,Error,True,sandbox SMM failure,anomaly
658,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual firmware protection. Error 0xC000027B.,2025-07-28 00:03:27,WinDefend,Error,True,sandbox firmware init failure,anomaly
659,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual microcode. Error 0x8007042B.,2025-07-28 00:03:28,WinDefend,Error,True,sandbox microcode failure,anomaly
660,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual CPU microcode. Error 0x8007042D.,2025-07-28 00:03:29,WinDefend,Error,True,sandbox CPU microcode init failure,anomaly
661,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual cache. Error 0x8007042C.,2025-07-28 00:03:30,WinDefend,Error,True,sandbox cache failure,anomaly
662,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual branch prediction. Error 0xC0000005.,2025-07-28 00:03:31,WinDefend,Error,True,sandbox branch predictor init failure,anomaly
663,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual speculative execution. Error 0x8007042B.,2025-07-28 00:03:32,WinDefend,Error,True,sandbox speculative execution failure,anomaly
664,The Windows Defender Antivirus Service failed to initialize Windows Sandbox virtual SGX. Error 0x8007042D.,2025-07-28 00:03:33,WinDefend,Error,True,sandbox SGX init failure,anomaly
665,The Windows Defender Antivirus Service failed to start Windows Sandbox virtual TEE. Error 0x8007042C.,2025-07-28 00:03:34,WinDefend,Error,True,sandbox TEE failure,anomaly
